# Haritha Hospitals - Schema + Data
# Entity: Employee Checkin
# Generated: 2026-08-19 19:31 IST

## Schema
Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Employee Checkin,employee,Link,Yes,Employee,EMP-001,Link → Employee
Employee Checkin,time,Datetime,Yes,Check-in timestamp,2025-05-26 06:00:00,ISO datetime
Employee Checkin,log_type,Select,Yes,IN or OUT,IN,IN/OUT
Employee Checkin,device_id,Data,No,Biometric device ID,DEV-001,free text
Employee Checkin,source,Select,No,Check-in source,Manual,Manual/Biometric/Web/Email
Employee Checkin,is_off,Check,No,Off-shift checkin flag (custom field — fixes pberpqa gap),0,Custom Field 0/1
Employee Checkin,shift,Link,No,Linked shift type,Morning Regular 06:00-14:00,Link → Shift Type
Employee Checkin,company,Link,Yes,Company,Haritha Hospitals,Link → Company

## Data
employee,time,log_type,device_id,source,is_off,shift,company
EMP-1001,2025-06-07 00:00:00,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-08 00:00:00,IN,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-08 00:00:00,OUT,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-09 08:56:22,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-09 17:35:46,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-10 08:59:49,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-10 17:46:59,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-11 08:54:57,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-11 17:49:12,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-12 08:56:44,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-12 17:56:26,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-13 07:14:26,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-13 17:52:18,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-14 08:49:18,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-14 17:38:16,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-15 00:00:00,IN,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-15 00:00:00,OUT,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-16 08:54:51,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-16 17:33:32,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-17 09:01:03,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-17 17:37:50,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-18 08:54:29,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-18 17:48:11,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-19 09:03:13,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-19 17:39:34,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-20 08:54:42,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-20 18:07:37,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-21 08:57:40,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-21 17:51:02,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-22 00:00:00,IN,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-22 00:00:00,OUT,EMP-1001,Biometric,0,,Haritha Hospitals
EMP-1001,2025-06-23 08:44:22,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-23 17:48:13,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-24 08:56:09,IN,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1001,2025-06-24 18:23:10,OUT,EMP-1001,Biometric,0,G0900R0830,Haritha Hospitals
EMP-1002,2025-05-26 10:06:52,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-26 10:06:52,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-27 10:26:29,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-27 10:26:29,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-28 10:58:25,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-28 10:58:25,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-29 11:23:04,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-29 20:21:36,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-30 11:21:30,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-30 11:21:30,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-31 11:13:50,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-05-31 11:13:50,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-01 00:00:00,IN,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-01 00:00:00,OUT,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-02 11:30:56,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-02 11:30:56,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-03 11:55:21,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-03 11:55:21,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-04 10:51:55,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-04 10:51:55,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-05 10:14:41,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-05 10:14:41,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-06 11:21:32,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-06 11:21:32,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-07 00:00:00,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-07 00:00:00,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-08 00:00:00,IN,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-08 00:00:00,OUT,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-09 00:00:00,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-09 00:00:00,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-10 10:12:13,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-10 10:12:13,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-11 10:31:02,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-11 10:31:02,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-12 10:51:12,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-12 10:51:12,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-13 11:40:48,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-13 11:40:48,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-14 12:20:04,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-14 12:20:04,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-15 00:00:00,IN,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-15 00:00:00,OUT,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-16 00:00:00,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-16 00:00:00,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-17 10:03:59,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-17 10:03:59,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-18 11:24:51,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-18 11:24:51,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-19 11:18:40,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-19 11:18:40,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-20 11:36:58,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-20 11:36:58,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-21 11:20:51,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-21 11:20:51,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-22 00:00:00,IN,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-22 00:00:00,OUT,EMP-1002,Biometric,0,,Haritha Hospitals
EMP-1002,2025-06-23 11:41:09,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-23 11:41:09,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-24 11:57:34,IN,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1002,2025-06-24 11:57:34,OUT,EMP-1002,Biometric,0,G1000R0800,Haritha Hospitals
EMP-1003,2025-05-26 09:51:22,IN,EMP-1003,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1003,2025-05-26 18:40:11,OUT,EMP-1003,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1003,2025-05-27 09:26:02,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-27 19:34:58,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-28 09:31:33,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-28 20:15:34,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-29 09:32:00,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-29 19:47:42,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-30 09:28:53,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-30 20:19:15,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-31 09:21:06,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-05-31 21:11:44,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-01 00:00:00,IN,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-01 00:00:00,OUT,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-02 00:00:00,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-02 00:00:00,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-03 09:14:16,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-03 20:31:46,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-04 09:08:22,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-04 20:34:13,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-05 09:10:36,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-05 18:57:01,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-06 09:30:01,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-06 19:26:47,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-07 09:26:33,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-07 19:01:22,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-08 00:00:00,IN,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-08 00:00:00,OUT,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-09 00:00:00,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-09 00:00:00,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-10 09:30:16,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-10 18:51:23,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-11 09:26:39,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-11 19:57:29,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-12 09:05:00,IN,EMP-1003,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1003,2025-06-12 20:11:00,OUT,EMP-1003,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1003,2025-06-13 09:30:23,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-13 20:03:10,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-14 09:30:31,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-14 21:54:29,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-15 00:00:00,IN,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-15 00:00:00,OUT,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-16 00:00:00,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-16 00:00:00,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-17 09:25:53,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-17 20:26:33,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-18 09:26:36,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-18 20:26:47,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-19 09:16:21,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-19 19:29:58,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-20 09:38:08,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-20 19:09:16,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-21 09:19:19,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-21 19:33:16,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-22 00:00:00,IN,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-22 00:00:00,OUT,EMP-1003,Biometric,0,,Haritha Hospitals
EMP-1003,2025-06-23 09:43:11,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-23 20:11:06,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-24 09:17:32,IN,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1003,2025-06-24 19:50:33,OUT,EMP-1003,Biometric,0,G0930R0830,Haritha Hospitals
EMP-1004,2025-05-26 19:54:16,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-05-26 08:13:32,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-05-27 08:13:32,IN,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-05-27 08:13:32,OUT,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-05-28 13:47:25,IN,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-05-28 22:14:13,OUT,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-05-29 07:25:54,IN,EMP-1004,Biometric,0,M0800S1200,Haritha Hospitals
EMP-1004,2025-05-29 20:31:04,OUT,EMP-1004,Biometric,0,M0800S1200,Haritha Hospitals
EMP-1004,2025-05-30 07:22:22,IN,EMP-1004,Biometric,0,M0800R0800,Haritha Hospitals
EMP-1004,2025-05-30 20:31:26,OUT,EMP-1004,Biometric,0,M0800R0800,Haritha Hospitals
EMP-1004,2025-05-31 07:22:20,IN,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-05-31 20:47:37,OUT,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-01 16:45:00,IN,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-01 08:08:00,OUT,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-02 08:02:00,IN,EMP-1004,Biometric,0,M0800R0900,Haritha Hospitals
EMP-1004,2025-06-02 16:04:00,OUT,EMP-1004,Biometric,0,M0800R0900,Haritha Hospitals
EMP-1004,2025-06-03 00:00:00,IN,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-03 00:00:00,OUT,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-04 13:58:54,IN,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-06-04 21:17:38,OUT,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-06-05 07:36:31,IN,EMP-1004,Biometric,0,M0800S1200,Haritha Hospitals
EMP-1004,2025-06-05 20:33:59,OUT,EMP-1004,Biometric,0,M0800S1200,Haritha Hospitals
EMP-1004,2025-06-06 07:20:26,IN,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-06 18:00:06,OUT,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-07 16:32:36,IN,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-07 09:05:23,OUT,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-08 19:39:08,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-08 08:49:47,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-09 19:45:02,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-09 08:34:56,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-10 08:34:56,IN,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-10 08:34:56,OUT,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-11 14:02:07,IN,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-06-11 20:56:38,OUT,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-06-12 07:30:24,IN,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-12 20:34:47,OUT,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-13 07:28:25,IN,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-13 17:36:22,OUT,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-14 16:54:03,IN,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-14 09:08:31,OUT,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-15 19:27:35,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-15 08:33:34,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-16 19:22:17,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-16 08:39:54,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-17 08:39:54,IN,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-17 08:39:54,OUT,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-18 13:46:06,IN,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-06-18 20:43:06,OUT,EMP-1004,Biometric,0,A1400R0600,Haritha Hospitals
EMP-1004,2025-06-19 07:21:12,IN,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-19 20:33:10,OUT,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-20 07:36:31,IN,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-20 17:35:28,OUT,EMP-1004,Biometric,0,M0800R0830,Haritha Hospitals
EMP-1004,2025-06-21 16:43:14,IN,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-21 09:14:15,OUT,EMP-1004,Biometric,0,N1700S1600,Haritha Hospitals
EMP-1004,2025-06-22 19:36:05,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-22 08:37:59,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-23 19:26:09,IN,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-23 08:36:39,OUT,EMP-1004,Biometric,0,N2000R1200,Haritha Hospitals
EMP-1004,2025-06-24 08:36:39,IN,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1004,2025-06-24 08:36:39,OUT,EMP-1004,Biometric,0,,Haritha Hospitals
EMP-1005,2025-05-26 10:10:15,IN,EMP-1005,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1005,2025-05-26 19:57:41,OUT,EMP-1005,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1005,2025-05-27 09:05:00,IN,EMP-1005,Biometric,0,G1000R0830,Haritha Hospitals
EMP-1005,2025-05-27 17:45:00,OUT,EMP-1005,Biometric,0,G1000R0830,Haritha Hospitals
