# Haritha Hospitals - Schema + Data
# Entity: Employee
# Generated: 2026-08-19 19:31 IST

## Schema
Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Employee,employee_name,Data,Yes,Full name of employee,Manager-1001,free text (synthetic per source)
Employee,employee_number,Data,Yes,Unique employee ID,1001,unique sequential
Employee,status,Select,Yes,Employment status,Active,Active/Inactive/Left/Suspended
Employee,department,Link,Yes,Department,Cardiology,Link → Department
Employee,designation,Link,Yes,Designation,Senior Staff Nurse,Link → Designation
Employee,employment_type,Link,No,Employment type,Full-time,Link → Employment Type
Employee,default_shift,Link,No,Default shift (auto-attendance cron uses this),Morning Regular 06:00-14:00,Link → Shift Type
Employee,date_of_joining,Date,Yes,Date of joining,2025-01-01,ISO date
Employee,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Employee,is_synthetic_data,Check,No,Mark synthetic / test data (custom field),1,0/1
Employee,branch,Link,No,Branch location,Hyderabad,Link → Branch
Employee,gender,Select,No,Gender,Male,Male/Female/Other
Employee,date_of_birth,Date,No,Date of birth,1990-01-01,ISO date
Employee,User_id,Link,No,Frappe User account for login,,Link → User
Employee,holiday_list,Link,No,Holiday list for this employee,Haritha Hospitals Holiday List,Link → Holiday List
Employee,attendance_device_id,Data,No,Biometric device ID,EMP-1001,free text

## Data
employee_name,employee_number,status,department,designation,employment_type,default_shift,date_of_joining,company,is_synthetic_data,branch,gender,date_of_birth,user_id,holiday_list,attendance_device_id
Executive-1027,1027,Active,Business Development,Executive,Full-time,G1000R0800,2009-01-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1027
Liaison Officer-1028,1028,Active,Legal,Liaison Officer,Full-time,G0900R0830,2009-01-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1028
Staff Nurse-1029,1029,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-01-29,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1029
Staff Nurse-1030,1030,Active,Nursing,Staff Nurse,Full-time,G1000R0830,2009-01-30,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1030
Executive Assistant-1031,1031,Active,Billing,Executive Assistant,Full-time,G1000R0830,2009-01-31,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1031
Executive-1032,1032,Active,Internal Audit,Executive,Full-time,G1000R0830,2009-02-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1032
Sr.Technician-1033,1033,Active,Lab Services,Senior Technician,Full-time,N2000R1200,2009-02-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1033
Sr.Staff Nurse-1034,1034,Active,Nursing,Senior Staff Nurse,Full-time,N2000R1200,2009-02-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1034
Driver-1035,1035,Active,Transport,Driver,Full-time,G0900R0800,2009-02-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1035
Typist-1036,1036,Active,Typing Pool,Typist,Full-time,G1000R0830,2009-02-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1036
Trainee-1037,1037,Active,Nursing,Trainee,Full-time,M0800R0830,2009-02-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1037
Manager-1038,1038,Active,Finance & Accounts,Manager,Full-time,G0930R0830,2009-02-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1038
Patient Care Attendant-1039,1039,Active,Nursing,Patient Care Attendant,Full-time,M0800R0830,2009-02-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1039
Patient Care Attendant-1040,1040,Active,Nursing,Patient Care Attendant,Full-time,G0930R0830,2009-02-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1040
Sr.Staff Nurse-1041,1041,Active,Nursing,Senior Staff Nurse,Full-time,A1400R0600,2009-02-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1041
Senior Executive-1042,1042,Active,IP Operations,Senior Executive,Full-time,M0800R0830,2009-02-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1042
Technician-1043,1043,Active,Radiology,Technician,Full-time,G0900R0830,2009-02-12,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1043
Trainee-1044,1044,Active,Lab Services,Trainee,Full-time,M0800R0830,2009-02-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1044
Nursing Supervisor-1045,1045,Active,Nursing,Nursing Supervisor,Full-time,N2000R1200,2009-02-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1045
Incharge-1046,1046,Active,Nursing,Incharge,Full-time,G0900R0830,2009-02-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1046
Staff Nurse-1047,1047,Active,Nursing,Staff Nurse,Full-time,G1000R0830,2009-02-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1047
Staff Nurse-1048,1048,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-02-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1048
Assistant Manager-1049,1049,Active,Bio Medical,Assistant Manager,Full-time,G0900R0830,2009-02-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1049
Senior Executive-1050,1050,Active,Pharmacy,Senior Executive,Full-time,G1100R0830,2009-02-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1050
Assistant-1051,1051,Active,Respiratory Therapy,Assistant,Full-time,N1700S1600,2009-02-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1051
Sr.Technician-1052,1052,Active,Operation Theatre,Senior Technician,Full-time,G1000R0830,2009-02-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1052
Senior Executive-1053,1053,Active,Internal Audit,Senior Executive,Full-time,G0930R0830,2009-02-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1053
Executive-1054,1054,Active,Operations,Executive,Full-time,G1000R0830,2009-02-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1054
Technician-1055,1055,Active,Lab Services,Technician,Full-time,A1400R0600,2009-02-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1055
Pharmacist-1056,1056,Active,Pharmacy,Pharmacist,Full-time,A1400R0600,2009-02-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1056
Incharge-1057,1057,Active,Nursing,Incharge,Full-time,G0900R0830,2009-02-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1057
Pharmacist-1058,1058,Active,Pharmacy,Pharmacist,Full-time,G1100R0830,2009-02-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1058
Staff Nurse-1059,1059,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-02-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1059
Staff Nurse-1060,1060,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-03-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1060
Staff Nurse-1061,1061,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-03-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1061
Technician-1062,1062,Active,Cardiology,Technician,Full-time,G0900R0830,2009-03-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1062
Staff Nurse-1063,1063,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-03-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1063
Manager-1064,1064,Active,Billing,Manager,Full-time,G0900R0830,2009-03-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1064
Executive-1065,1065,Active,Internal Audit,Executive,Full-time,G0930R0830,2009-03-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1065
Staff Nurse-1066,1066,Active,Nursing,Staff Nurse,Full-time,M0800R0600,2009-03-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1066
Senior Manager-1067,1067,Active,Business Development,Senior Manager,Full-time,G1000R0800,2009-03-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1067
Sr.Executive-1068,1068,Active,Billing,Senior Executive,Full-time,G1000R0830,2009-03-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1068
Nursing Supervisor-1069,1069,Active,Nursing,Nursing Supervisor,Full-time,G0900R0830,2009-03-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1069
Sr.Executive-1070,1070,Active,IT,Senior Executive,Full-time,G0930R0830,2009-03-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1070
General Manager-1071,1071,Active,Business Development,General Manager,Full-time,G0900R0830,2009-03-12,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1071
Sr.Executive-1072,1072,Active,Medical Records,Senior Executive,Full-time,G0900R0830,2009-03-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1072
General Manager-1073,1073,Active,Business Development,General Manager,Full-time,G1000R0800,2009-03-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1073
Pharmacist-1074,1074,Active,Pharmacy,Pharmacist,Full-time,N2000R1200,2009-03-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1074
Trainee-1075,1075,Active,Cardiology,Trainee,Full-time,M0800R0830,2009-03-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1075
Manager-1076,1076,Active,OP Operations,Manager,Full-time,G0900R0830,2009-03-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1076
Physician Asstant-1077,1077,Active,Medical Services,Physician Assistant,Full-time,N1700S1600,2009-03-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1077
Staff Nurse-1078,1078,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-03-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1078
Pharmacist-1079,1079,Active,Pharmacy,Pharmacist,Full-time,G0930R0830,2009-03-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1079
Staff Nurse-1080,1080,Active,Nursing,Staff Nurse,Full-time,M0800R0600,2009-03-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1080
Assistant Manager-1081,1081,Active,Pharmacy,Assistant Manager,Full-time,G1100R0830,2009-03-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1081
Executive-1082,1082,Active,Business Development,Executive,Full-time,G0930R0830,2009-03-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1082
Electrician-1083,1083,Active,Maintenance,Electrician,Full-time,A1400R0600,2009-03-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1083
Staff Nurse-1084,1084,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-03-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1084
Staff Nurse-1085,1085,Active,Nursing,Staff Nurse,Full-time,M0800R0830,2009-03-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1085
Manager-1086,1086,Active,Housekeeping,Manager,Full-time,G0900R0830,2009-03-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1086
Senior Executive-1087,1087,Active,Finance & Accounts,Senior Executive,Full-time,G0930R0830,2009-03-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1087
Staff Nurse-1088,1088,Active,Nursing,Staff Nurse,Full-time,G1000R0830,2009-03-29,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1088
Dy.Manager-1089,1089,Active,Pharmacy,Deputy Manager,Full-time,G0900R0830,2009-03-30,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1089
Sr.Executive-1090,1090,Active,Business Development,Senior Executive,Full-time,G0930R0830,2009-03-31,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1090
Staff Nurse-1091,1091,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-04-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1091
Technician-1092,1092,Active,Radiology,Technician,Full-time,M0800R0600,2009-04-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1092
Senior Executive-1093,1093,Active,Business Development,Senior Executive,Full-time,G1000R0800,2009-04-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1093
Driver-1094,1094,Active,Transport,Driver,Full-time,G0900R0800,2009-04-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1094
Executive-1095,1095,Active,Internal Audit,Executive,Full-time,G1000R0830,2009-04-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1095
Executive-1096,1096,Active,OP Operations,Executive,Full-time,G0900R0830,2009-04-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1096
Technician-1097,1097,Active,Radiology,Technician,Full-time,M0800R0830,2009-04-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1097
Pharmacist-1098,1098,Active,Pharmacy,Pharmacist,Full-time,M0800R0600,2009-04-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1098
Staff Nurse-1099,1099,Active,Nursing,Staff Nurse,Full-time,G0930R0800,2009-04-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1099
Pharmacist-1100,1100,Active,Pharmacy,Pharmacist,Full-time,N2000R1200,2009-04-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1100
Scrub Nurse-1101,1101,Active,Nursing - OT,Scrub Nurse,Full-time,G1000R0830,2009-04-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1101
Trainee-1102,1102,Active,Nursing,Trainee,Full-time,N2000R1200,2009-04-12,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1102
Trainee-1103,1103,Active,Nursing,Trainee,Full-time,N2000R1200,2009-04-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1103
Sr.Executive-1104,1104,Active,Finance & Accounts,Senior Executive,Full-time,G0930R0830,2009-04-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1104
Clinical Pharmacist-1105,1105,Active,Pharmacy,Clinical Pharmacist,Full-time,G0900R0830,2009-04-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1105
Sr.Physiotherapist-1106,1106,Active,Physiotherapy,Senior Physiotherapist,Full-time,G0900R0830,2009-04-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1106
Physiotherapist-1107,1107,Active,Physiotherapy,Physiotherapist,Full-time,G0900R0830,2009-04-17,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1107
Jr.Technician-1108,1108,Active,Radiology,Jr.Technician,Full-time,A1400R0600,2009-04-18,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1108
Manager-1109,1109,Active,Lab Services,Manager,Full-time,G0900R0830,2009-04-19,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1109
Incharge-1110,1110,Active,Nursing,Incharge,Full-time,G0900R0830,2009-04-20,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1110
Staff Nurse-1111,1111,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-04-21,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1111
Staff Nurse-1112,1112,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-04-22,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1112
Staff Nurse-1113,1113,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-04-23,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1113
Technician-1114,1114,Active,Operation Theatre,Technician,Full-time,G0900R0830,2009-04-24,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1114
Senior Vice President-1115,1115,Active,Business Development,Senior Vice President,Full-time,G0900R0830,2009-04-25,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1115
Staff Nurse-1116,1116,Active,Nursing,Staff Nurse,Full-time,M0800R0600,2009-04-26,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1116
Staff Nurse-1117,1117,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-04-27,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1117
Sr.Manager-1118,1118,Active,Business Development,Senior Manager,Full-time,G1000R0800,2009-04-28,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1118
Manager-1119,1119,Active,Business Development,Manager,Full-time,G1000R0800,2009-04-29,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1119
Sr.Executive-1120,1120,Active,Business Development,Senior Executive,Full-time,G0930R0830,2009-04-30,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1120
Deputy General Manager-1121,1121,Active,Business Development,Deputy General Manager,Full-time,G1000R0800,2009-05-01,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1121
Manager-1122,1122,Active,Business Development,Manager,Full-time,G1000R0830,2009-05-02,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1122
Staff Nurse-1123,1123,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-05-03,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1123
Staff Nurse-1124,1124,Active,Nursing,Staff Nurse,Full-time,N2000R1200,2009-05-04,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1124
Staff Nurse-1125,1125,Active,Nursing,Staff Nurse,Full-time,M0800R0600,2009-05-05,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1125
Staff Nurse-1126,1126,Active,Nursing,Staff Nurse,Full-time,M0800R0600,2009-05-06,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1126
Chief Operating Officer-1127,1127,Active,Operations,Chief Operating Officer,Full-time,G0930R0830,2009-05-07,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1127
Staff Nurse-1128,1128,Active,Nursing,Staff Nurse,Full-time,A1400R0600,2009-05-08,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1128
Manager-1129,1129,Active,Human Resources,Manager,Full-time,G0930R0830,2009-05-09,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1129
Physician Assistant-1130,1130,Active,Medical Services,Physician Assistant,Full-time,N1700S1600,2009-05-10,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1130
Supervisor-1131,1131,Active,Maintenance,Supervisor,Full-time,A1200R0830,2009-05-11,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1131
Dy.Manager-1132,1132,Active,Business Development,Deputy Manager,Full-time,G1000R0800,2009-05-12,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1132
Trainee-1133,1133,Active,OP Operations,Trainee,Full-time,G1000R0830,2009-05-13,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1133
Physician Assistant-1134,1134,Active,Medical Services,Physician Assistant,Full-time,G0900R0800,2009-05-14,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1134
Pharmacist-1135,1135,Active,Pharmacy,Pharmacist,Full-time,M0800R0600,2009-05-15,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1135
Trainee-1136,1136,Active,Nursing,Trainee,Full-time,N2000R1200,2009-05-16,Haritha Hospitals,1,Hyderabad,,,,Haritha Hospitals Holiday List,EMP-1136
