Entity,Field,Type,Required,Description,Example,Valid Values / Notes
Designation,required_skills,Table,No,Required skills for this designation (child table),,child rows: skill Link → Skill
Employment Type,name,Data,Yes,Employment type name,Full-time,unique
Employment Type,description,Text,No,Description of the employment type,Full-time employment,free text
Employment Type,allow_employee_creation,Check,No,Can create employees of this type,1,0/1
Shift Type,name,Data,Yes,Shift display name,Morning Regular 06:00-14:00,unique
Shift Type,start_time,Time,Yes,Shift start time,06:00:00,HH:MM:SS 24-hour
Shift Type,end_time,Time,Yes,Shift end time,14:00:00,HH:MM:SS 24-hour (next day if past midnight)
Shift Type,duration,Float,No,Duration in hours (computed),8.0,numeric
Shift Type,is_past_end_time,Check,No,True if shift ends past midnight (HRMS-native),0,0/1
Shift Type,is_oncall,Check,No,On-call shift (custom field),0,0/1
Shift Type,is_emergency,Check,No,Emergency shift (custom field),0,0/1
Shift Type,mark_auto_attendance,Check,No,Auto-mark attendance from checkin,1,0/1
Shift Type,last_sync_of_checkin,Datetime,No,Last datetime checkin was synced (per lesson #42),2025-05-26 08:00:00,ISO datetime — REQUIRED for auto-attendance
Shift Type,company,Link,Yes,Company this shift type belongs to,Haritha Hospitals,Link → Company
Shift Type,holiday_list,Link,No,Holiday List for this shift,,Link → Holiday List
Shift Type,enable_auto_attendance,Check,No,Master auto-attendance toggle,0,0/1
Shift Type,determine_check_in_and_check_out,Select,No,IN/OUT detection method,Alternating entries as IN and OUT,Alternating entries as IN and OUT / Strictly based on Log Type
Shift Type,working_hours_calculation_based_on,Select,No,How to compute working hours,First Check-in and Last Check-out,First Check-in and Last Check-out / Every Valid Check-in and Check-out
Shift Type,begin_check_in_before_shift_start_time,Int,No,Grace period before start (minutes),0,numeric
Shift Type,allow_check_out_after_shift_end_time,Int,No,Grace period after end (minutes),0,numeric
Shift Type,mark_auto_attendance_on_holidays,Check,No,Auto-mark on holidays,0,0/1
Shift Type,working_hours_threshold_for_half_day,Float,No,Hours threshold for half day,0,numeric
Shift Type,working_hours_threshold_for_absent,Float,No,Hours threshold for absent,0,numeric
Shift Type,process_attendance_after,Date,No,Backfill cutoff date,,ISO date
Shift Type,auto_update_last_sync_of_checkin,Check,No,Auto-update last_sync on checkin,0,0/1
Shift Type,enable_late_entry_marking,Check,No,Enable late entry detection,0,0/1
Shift Type,late_entry_grace_period,Int,No,Late entry grace (minutes),0,numeric
Shift Type,enable_early_exit_marking,Check,No,Enable early exit detection,0,0/1
Shift Type,early_exit_grace_period,Int,No,Early exit grace (minutes),0,numeric
Employee,employee_name,Data,Yes,Full name of employee,Manager-1001,free text (synthetic per source)
Employee,employee_number,Data,Yes,Unique employee ID,1001,unique sequential
Employee,status,Select,Yes,Employment status,Active,Active/Inactive/Left/Suspended
Employee,department,Link,Yes,Department,Cardiology,Link → Department
Employee,designation,Link,Yes,Designation,Senior Staff Nurse,Link → Designation
Employee,employment_type,Link,No,Employment type,Full-time,Link → Employment Type
Employee,default_shift,Link,No,Default shift (auto-attendance cron uses this),Morning Regular 06:00-14:00,Link → Shift Type
Employee,date_of_joining,Date,Yes,Date of joining,2025-01-01,ISO date
Employee,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Employee,is_synthetic_data,Check,No,Mark synthetic / test data (custom field),1,0/1
Employee,branch,Link,No,Branch location,Hyderabad,Link → Branch
Employee,gender,Select,No,Gender,Male,Male/Female/Other
Employee,date_of_birth,Date,No,Date of birth,1990-01-01,ISO date
Employee,User_id,Link,No,Frappe User account for login,,Link → User
Employee,holiday_list,Link,No,Holiday list for this employee,Haritha Hospitals Holiday List,Link → Holiday List
Employee,attendance_device_id,Data,No,Biometric device ID,EMP-1001,free text
Shift Assignment,employee,Link,Yes,Employee,EMP-001,Link → Employee
Shift Assignment,shift_type,Link,Yes,Shift type to assign,Morning Regular 06:00-14:00,Link → Shift Type
Shift Assignment,start_date,Date,Yes,First day of the assignment,2025-05-26,ISO date — supports multi-date SAs (per pberpqa M15)
Shift Assignment,end_date,Date,No,Last day of the assignment,2025-06-24,ISO date — leave empty for open-ended
Shift Assignment,status,Select,Yes,Assignment status,Active,Active/Inactive
Shift Assignment,docstatus,Int,Yes,Document submit status,1,0=Draft / 1=Submitted / 2=Cancelled
Shift Assignment,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Shift Assignment,shift_location,Link,No,Optional shift location override,,Link → Shift Location
Attendance,employee,Link,Yes,Employee,EMP-001,Link → Employee
Attendance,attendance_date,Date,Yes,Date of attendance,2025-05-26,ISO date
Attendance,status,Select,Yes,Attendance status,Present,Present/Absent/On Leave/Half Day/Work From Home/Weekly Off/Holiday/Optional Holiday
Attendance,shift,Link,No,Shift type, Morning Regular 06:00-14:00,Link → Shift Type
Attendance,leave_type,Link,No,Leave type if On Leave / Half Day,Casual Leave,Link → Leave Type
Attendance,leave_application,Link,No,Leave application linkage,LAP-001,Link → Leave Application
Attendance,late_entry_by,Int,No,Minutes late (custom field — 0 if not late),0,Custom Field (Rule #9 from day 1)
Attendance,early_out_by,Int,No,Minutes early (custom field — 0 if not early),0,Custom Field (Rule #9 from day 1)
Attendance,is_wfh,Check,No,Work from home flag (custom field — fixes pberpqa gap),0,Custom Field 0/1
Attendance,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Leave Type,name,Data,Yes,Leave type name,Casual Leave,unique
Leave Type,max_leaves_allowed,Int,No,Max leaves per allocation period,12,numeric
Leave Type,applicable_after,Int,No,Days after joining before eligibility,30,numeric
Leave Type,max_continuous_days_allowed,Int,No,Max continuous days allowed,5,numeric
Leave Type,is_carry_forward,Check,No,Whether unused leaves carry forward,0,0/1
Leave Type,is_lwp,Check,No,Whether this is leave without pay,0,0/1
Leave Type,is_optional_holiday,Check,No,Whether this is an optional holiday type,0,0/1
Leave Type,is_compensatory,Check,No,Whether this is a compensatory leave,0,0/1
Leave Type,include_holiday,Check,No,Include holidays in leave count,0,0/1
Leave Type,allow_negative,Check,No,Allow negative balance,0,0/1
Leave Type,earned_leave,Check,No,Whether this is earned leave (auto-accrues),0,0/1
Leave Type,remarks,Text,No,Allocation rules & policy (mandatory here per user),CL: 12/year granted Jan 1; standard Indian policy,free text — keep rules here
Leave Allocation,employee,Link,Yes,Employee,EMP-001,Link → Employee
Leave Allocation,leave_type,Link,Yes,Leave type to allocate,Casual Leave,Link → Leave Type
Leave Allocation,from_date,Date,Yes,Allocation start date,2025-01-01,ISO date
Leave Allocation,to_date,Date,Yes,Allocation end date,2025-12-31,ISO date
Leave Allocation,new_leaves_allocated,Float,Yes,Number of leaves allocated,12,numeric (supports 0.5 for half-day)
Leave Allocation,carry_forward,Float,No,Carried-forward leaves from previous period,0,numeric
Leave Allocation,docstatus,Int,Yes,Document submit status,1,0/1/2
Leave Allocation,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Leave Application,employee,Link,Yes,Employee,EMP-001,Link → Employee
Leave Application,leave_type,Link,Yes,Leave type,Casual Leave,Link → Leave Type
Leave Application,from_date,Date,Yes,Leave start date,2025-06-01,ISO date
Leave Application,to_date,Date,Yes,Leave end date,2025-06-03,ISO date
Leave Application,leave_half_day,Check,No,Half-day leave flag (Frappe convention),0,0/1
Leave Application,half_day_date,Date,No,Which date is half-day,2025-06-01,ISO date (required if leave_half_day=1)
Leave Application,reason,Text,No,Reason for leave,Personal,free text
Leave Application,status,Select,Yes,Application status,Approved,Open/Approved/Rejected/Cancelled
Leave Application,docstatus,Int,Yes,Document submit status,1,0/1/2
Leave Application,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Leave Application,follow_via_email,Check,No,Notify via email,0,0/1
Employee Checkin,employee,Link,Yes,Employee,EMP-001,Link → Employee
Employee Checkin,time,Datetime,Yes,Check-in timestamp,2025-05-26 06:00:00,ISO datetime
Employee Checkin,log_type,Select,Yes,IN or OUT,IN,IN/OUT
Employee Checkin,device_id,Data,No,Biometric device ID,DEV-001,free text
Employee Checkin,source,Select,No,Check-in source,Manual,Manual/Biometric/Web/Email
Employee Checkin,is_off,Check,No,Off-shift checkin flag (custom field — fixes pberpqa gap),0,Custom Field 0/1
Employee Checkin,shift,Link,No,Linked shift type,Morning Regular 06:00-14:00,Link → Shift Type
Employee Checkin,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Shift Schedule,name,Data,Yes,Schedule name,Cardiology Nursing Rotation June 2026,unique
Shift Schedule,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Shift Schedule,shift_type,Link,Yes,Shift type to assign,M0600R0800,Link → Shift Type
Shift Schedule,frequency,Select,Yes,Generation frequency,Daily,Daily/Weekly/Custom
Shift Schedule,repeat_on_days,Table,Yes,Days to repeat on (child → Assignment Rule Day),,child rows: day weekday
Shift Schedule,amended_from,Link,No,Amendment source,,Link → Shift Schedule
Shift Schedule,docstatus,Int,Yes,Submit status,0,0/1/2
Shift Schedule Assignment,name,Data,Yes,SSA identifier,SSA-001,unique
Shift Schedule Assignment,shift_schedule,Link,Yes,Parent schedule,Cardiology Nursing Rotation June 2026,Link → Shift Schedule
Shift Schedule Assignment,employee,Link,Yes,Employee,EMP-001,Link → Employee
Shift Schedule Assignment,shift_type,Link,Yes,Shift type,M0600R0800,Link → Shift Type
Shift Schedule Assignment,date,Date,Yes,Assigned date,2026-06-01,ISO date
Shift Schedule Assignment,shift_status,Select,Yes,Shift status,Draft,Draft/Active/Cancelled
Shift Schedule Assignment,docstatus,Int,Yes,Submit status,0,0/1/2
Shift Schedule Assignment,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Shift Schedule Assignment,shift_location,Link,No,Shift Location override,,Link → Shift Location
Shift Schedule Assignment,enabled,Check,No,Scheduler on/off toggle,1,0/1
Shift Schedule Assignment,create_shifts_after,Date,No,Scheduler cursor (auto-updated),,ISO date
Shift Request,employee,Link,Yes,Employee,EMP-001,Link → Employee
Shift Request,shift_type,Link,Yes,Requested shift type,M0600R0800,Link → Shift Type
Shift Request,from_date,Date,Yes,Start date,2026-06-01,ISO date
Shift Request,to_date,Date,Yes,End date,2026-06-03,ISO date
Shift Request,reason,Text,No,Reason,Personal,free text
Shift Request,status,Select,Yes,Request status,Open,Open/Approved/Rejected/Cancelled
Shift Request,docstatus,Int,Yes,Submit status,0,0/1/2
Shift Request,approver,Link,Yes,Approver,EMP-002,Link → User
Shift Request,company,Link,Yes,Company,Haritha Hospitals,Link → Company
Shift Location,location_name,Data,Yes,Location name (autoname source),Main Hospital Gate,unique
Shift Location,checkin_radius,Int,No,Geofence radius in meters,100,non_negative
Shift Location,latitude,Float,No,Latitude coordinate,17.3850,decimal
Shift Location,longitude,Float,No,Longitude coordinate,78.4867,decimal
Shift Location,geolocation,Geolocation,No,Composite map field,,Frappe Geolocation control
Shift Location,fetch_geolocation,Button,No,Auto-fetch lat/long from browser geolocation,,UI button
